Unique ID,Indicator ID,Name,,,Geo Type Name,,Geo Place Name,Time Period,Start_Date,Data Value,Shape_area,Shape_length
667029,375,Nitrogen dioxide (NO2),,,Borough,1,Bronx,Summer 2020,6/1/20,13.16,1187174773,463180.5794
667035,375,Nitrogen dioxide (NO2),,,Borough,2,Brooklyn,Summer 2020,6/1/20,10.82,1934138216,728146.5749
667047,375,Nitrogen dioxide (NO2),,,Borough,4,Queens,Summer 2020,6/1/20,10,3041418507,888199.7314
667041,375,Nitrogen dioxide (NO2),,,Borough,3,Manhattan,Summer 2020,6/1/20,15.97,636520502.8,357713.3082
667053,375,Nitrogen dioxide (NO2),,,Borough,5,Staten Island,Summer 2020,6/1/20,7.83,1623620725,325917.354
