Unique ID,Indicator ID,Name,,,Geo Type Name,,Geo Place Name,Time Period,Start_Date,Data Value,Shape_area,Shape_length
643304,375,Nitrogen dioxide (NO2),,,Borough,1,Bronx,Summer 2019,6/1/19,13.14,1187174773,463180.5794
643310,375,Nitrogen dioxide (NO2),,,Borough,3,Manhattan,Summer 2019,6/1/19,19.7,636520502.8,357713.3082
643307,375,Nitrogen dioxide (NO2),,,Borough,2,Brooklyn,Summer 2019,6/1/19,13.4,1934138216,728146.5749
643313,375,Nitrogen dioxide (NO2),,,Borough,4,Queens,Summer 2019,6/1/19,13.06,3041418507,888199.7314
643316,375,Nitrogen dioxide (NO2),,,Borough,5,Staten Island,Summer 2019,6/1/19,9.84,1623620725,325917.354
